country,Alcoholic.Beverages,Animal.fats,Animal.Products,Aquatic.Products..Other,Cereals...Excluding.Beer,Eggs,Fish..Seafood,Fruits...Excluding.Wine,Meat,Milk...Excluding.Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy.Roots,Stimulants,Sugar...Sweeteners,Sugar.Crops,Treenuts,Vegetable.Oils,Vegetables,Vegetal.Products,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,Unit..all.except.Population.,Region
Burkina Faso,15.3706,0.0231,4.6611,0,21.2005,0.2406,0.7077,0.6596,1.2029,2.3195,0.1373,0.1664,1.8664,1.4294,0.0321,0.9723,0.0211,1.1287,0,0.0712,0.9503,1.5036,45.3359,4.5,20,0.003680921,0.000236209,0.002800059,0.000644653,20321000,%,WesternAfrica
Cabo Verde,3.9814,0.0363,9.7559,0.0029,14.7961,0.4602,1.0598,4.6402,3.0725,5.0192,1.119,0.105,0.5394,1.139,0.2731,3.843,0.1671,2.1396,0,0.0258,0.9471,6.6338,40.2437,10.6,12.6,0.042909091,0.000363636,0.010181818,0.032363636,550000,%,WesternAfrica
Cambodia,4.5783,0.0377,6.08,0,24.8906,0.131,4.2369,2.3184,1.2247,0.3285,0.4853,0.1211,0.79,0.4903,0.0784,3.0519,0.126,2.9923,0.8367,0.0238,0.2511,3.0072,43.9195,3.5,16.4,0.000739977,0,0.000727846,1.21E-05,16487000,%,South-easternAsia
Cameroon,5.156,0.0146,2.933,0,10.3112,0.0256,1.3206,7.2151,0.876,0.6289,0.0717,0.0673,0.8658,1.4734,0.283,11.3883,0.0234,0.6479,0,0.1324,0.6398,8.859,47.067,9.5,9.9,0.008788066,0.000417375,0.004761169,0.003609522,25876000,%,MiddleAfrica
Canada,4.8441,0.8084,16.0365,0.006,6.4236,0.7668,1.2148,5.0692,4.4707,8.7596,0.6071,0.0097,0.4334,0.6304,0.0574,3.494,0.4053,5.0237,0,0.1439,1.3441,5.4961,33.9551,31.3,2.5,0.184208698,0.012891241,0.083559191,0.087758266,37413000,%,NorthernAmerica
Central African Republic,1.7435,0.1228,6.9032,0,3.8844,0.051,0.8041,4.5543,3.7346,1.7581,0.0614,0.4338,0.697,0.8936,0.0031,27.7128,0.2008,0.7022,0,0,0.724,1.9214,43.0942,6.3,59.6,0.003013699,0,0.000210748,0.00280295,4745000,%,MiddleAfrica
Chad,0.8297,0.2023,12.2804,0,21.6017,0.0495,1.0451,1.0669,3.8543,5.9037,0.064,1.2256,3.0304,1.4133,0,6.991,0.0087,1.3449,0,0,0.4556,0.9141,37.7189,4.8,37.5,0.001969419,0.000189602,0.000324159,0.001455657,16350000,%,MiddleAfrica
Chile,4.969,0.1782,15.0394,0.0155,10.8579,0.7757,0.8711,3.9109,6.1492,6.9966,0.3024,0.0525,0.2588,0.2677,0.0133,4.7183,0.1353,3.5582,0,0.119,0.5435,5.3092,34.9584,28.8,2.7,0.142455645,0.00159104,0.066295075,0.074569529,19107000,%,SouthAmerica
China,2.3224,0.0866,13.424,0.0542,8.9298,1.2059,3.3435,4.2451,6.0732,1.7962,1.3773,0.8643,0.4401,0.0704,0.0364,1.9016,0.1781,3.1065,0.0253,0.2665,0.579,13.099,36.5744,6.6,8.5,0.006007739,0.000331681,0.005659893,1.62E-05,1398030000,%,EasternAsia
Colombia,3.1032,0.0814,12.821,0,8.1055,0.8132,0.4552,11.3276,3.554,7.7443,0.0776,0.1729,0.2276,0.3503,0.0343,5.0309,0.0057,4.7518,0.028,0.0947,0.9454,3.0981,37.1774,22.1,4.8,0.02083416,0.000883392,0.005099853,0.014850915,50374000,%,SouthAmerica
